"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"69957",8.3,0.17,8.35,756,210,0.015,0.105,1342,885,"0"
"21971",7.1,0.16,8.33,753,211,0.024,0.106,1653,1025,"0"
"94437",9.1,0.17,8.3,756,210,0.016,0.106,1303,884,"0"
"72316",8.4,0.17,8.44,744,210,0.015,0.105,1553,949,"0"
"138679",10.2,0.17,8.42,758,190,0.02,0.101,1481,798,"0"
"129244",10.7,0.17,8.38,751,203,0.017,0.103,1413,953,"0"
"119400",10.2,0.17,8.45,750,214,0.017,0.097,1356,1011,"0"
"55728",8,0.16,8.37,754,211,0.02,0.104,1344,886,"0"
"31360",7.3,0.17,8.35,754,211,0.025,0.118,1689,1127,"0"
"75934",8.3,0.17,8.41,752,214,0.018,0.105,1273,795,"0"
"12100",6.7,0.16,8.34,752,214,0.02,0.108,1659,918,"0"
"75326",8.5,0.17,8.4,750,214,0.013,0.099,1447,607,"0"
"162",6.5,0.16,8.38,747,207,0.01,0.114,1468,685,"0"
"88379",8.9,0.16,8.35,757,210,0.018,0.106,1356,797,"0"
"20303",7.3,0.16,8.31,753,211,0.021,0.11,1671,895,"0"
"118617",10.2,0.16,8.43,752,210,0.018,0.106,1568,939,"0"
"61966",8.3,0.17,8.22,758,209,0.022,0.111,1578,1188,"0"
"65766",8.4,0.17,8.41,754,211,0.014,0.101,1168,891,"0"
"79124",8.6,0.16,8.39,756,211,0.015,0.106,1568,1002,"0"
"59100",8.3,0.16,8.36,757,201,0.02,0.117,1964,1055,"0"
"19001",7.1,0.16,8.33,752,211,0.015,0.111,1666,1019,"0"
"81614",8.7,0.17,8.36,755,211,0.016,0.104,1329,997,"0"
"87487",8.8,0.16,8.34,755,210,0.015,0.099,1278,798,"0"
"42716",7.7,0.18,8.4,754,203,0.029,0.114,1850,1123,"0"
"113660",9.9,0.16,8.41,752,214,0.012,0.098,1446,931,"0"
"48441",7.7,0.17,8.38,751,211,0.024,0.109,1605,905,"0"
"46604",7.7,0.17,8.38,751,214,0.021,0.111,1540,846,"0"
"71721",8.3,0.17,8.31,758,214,0.016,0.108,1422,1003,"0"
"125835",10.7,0.16,8.38,750,203,0.018,0.099,1442,954,"0"
"109881",9.9,0.17,8.41,754,211,0.021,0.101,1378,949,"0"
"35977",7.5,0.17,8.44,754,206,0.019,0.114,1908,1181,"0"
"81445",8.5,0.17,8.41,755,211,0.015,0.101,1446,1002,"0"
"104589",9.5,0.16,8.45,752,210,0.016,0.099,1348,986,"0"
"21880",7.2,0.18,8.37,754,211,0.023,0.117,1651,1037,"0"
"91923",9,0.16,8.39,757,217,0.016,0.108,1512,1005,"0"
"88147",8.9,0.16,8.36,755,207,0.015,0.099,1393,803,"0"
"23241",7.2,0.16,8.31,754,211,0.022,0.11,1578,983,"0"
"25791",7.1,0.16,8.31,754,211,0.025,0.111,1599,787,"0"
"51906",8,0.17,8.36,754,207,0.025,0.111,1535,962,"0"
"74228",8.4,0.16,8.38,751,214,0.016,0.101,1458,990,"0"
"56577",8.2,0.17,8.32,756,209,0.024,0.111,1689,1071,"0"
"117541",10.1,0.15,8.41,751,210,0.016,0.095,1453,943,"0"
"55319",8.1,0.17,8.34,756,211,0.024,0.114,1442,1065,"0"
"5992",6.9,0.17,8.34,749,214,0.018,0.106,1344,822,"0"
"135751",10.7,0.15,8.42,759,190,0.02,0.105,1510,953,"0"
"125778",10.8,0.16,8.38,750,203,0.019,0.102,1501,945,"0"
"61725",8.1,0.18,8.32,758,211,0.027,0.104,1891,1185,"0"
"84389",8.7,0.17,8.38,754,210,0.016,0.102,1292,832,"0"
"96530",9.1,0.17,8.37,755,214,0.015,0.102,1383,840,"0"
"33512",7.7,0.16,8.33,755,206,0.027,0.112,2136,1280,"0"
"76615",8.7,0.17,8.4,754,214,0.014,0.105,1402,1101,"0"
"123805",10.7,0.17,8.39,750,207,0.016,0.099,1462,1003,"0"
"99992",9.2,0.16,8.35,756,214,0.016,0.103,1416,922,"0"
"36177",7.8,0.16,8.33,754,206,0.02,0.108,1917,1141,"0"
"99741",9.2,0.16,8.34,755,214,0.015,0.105,1449,921,"0"
"44070",7.7,0.16,8.38,753,211,0.025,0.109,1765,988,"0"
"103625",9.4,0.17,8.38,755,210,0.017,0.103,1446,920,"0"
"108330",9.9,0.16,8.37,754,211,0.016,0.101,1518,851,"0"
"8540",6.6,0.16,8.24,755,211,0.02,0.118,1637,934,"0"
"128383",11,0.17,8.38,749,200,0.018,0.095,1307,868,"0"
"36404",7.7,0.16,8.33,754,209,0.023,0.107,2049,1148,"0"
"108765",9.7,0.16,8.38,752,210,0.014,0.099,1408,841,"0"
"29653",7.3,0.16,8.33,752,211,0.027,0.108,1773,1107,"0"
"77034",8.7,0.18,8.34,755,210,0.015,0.108,1535,1013,"0"
"94495",9.1,0.16,8.32,757,210,0.016,0.106,1190,880,"0"
"138486",10.3,0.16,8.39,758,190,0.019,0.097,1503,806,"0"
"82186",9,0.16,8.49,755,209,0.013,0.107,1568,1005,"0"
"105494",9.5,0.17,8.36,754,210,0.016,0.101,1335,914,"0"
"59007",8.3,0.18,8.39,758,212,0.025,0.113,1824,1046,"0"
"10455",6.8,0.18,8.39,751,211,0.025,0.104,1677,968,"0"
"90583",8.9,0.17,8.34,757,210,0.016,0.106,1582,903,"0"
"8717",6.8,0.16,8.3,753,207,0.019,0.111,1684,910,"0"
"98841",9.2,0.16,8.37,755,214,0.016,0.103,1599,851,"0"
"117440",9.9,0.16,8.43,751,210,0.016,0.095,1494,949,"0"
"26469",7.1,0.16,8.34,753,214,0.023,0.111,1668,803,"0"
"127074",10.8,0.16,8.38,746,207,0.02,0.092,1268,803,"0"
"136845",10.4,0.18,8.47,759,190,0.02,0.106,1489,820,"0"
"127916",10.9,0.17,8.41,747,210,0.02,0.095,1248,853,"0"
"42182",7.7,0.17,8.36,753,205,0.029,0.108,1719,1175,"0"
"31613",7.4,0.15,8.39,750,212,0.018,0.108,1753,380,"0"
"82951",8.8,0.17,8.41,755,207,0.014,0.104,1593,1040,"0"
"67588",8.3,0.17,8.35,758,207,0.023,0.106,1790,869,"0"
"127375",10.9,0.16,8.37,749,206,0.016,0.091,1226,799,"0"
"65357",8.3,0.16,8.36,755,207,0.012,0.1,1246,909,"0"
"20731",7,0.16,8.31,755,211,0.024,0.116,1695,942,"0"
"42337",7.7,0.16,8.38,754,207,0.03,0.113,1778,1171,"0"
"42679",7.7,0.18,8.35,755,207,0.028,0.116,1875,1192,"0"
"4346",6.5,0.16,8.36,749,217,0.016,0.111,1335,694,"0"
"133114",10.7,0.16,8.43,751,189,0.021,0.098,1512,943,"0"
"118062",10.1,0.16,8.43,753,210,0.016,0.103,1601,936,"0"
"326",6.5,0.15,8.23,749,211,0.012,0.111,1402,737,"0"
"29643",7.3,0.16,8.33,753,211,0.027,0.109,1725,1118,"0"
"95074",9.1,0.16,8.38,755,217,0.017,0.103,1472,841,"0"
"139386",10.1,0.17,8.39,760,193,0.022,0.11,1313,856,"0"
"113749",9.9,0.16,8.39,753,214,0.018,0.099,1510,936,"0"
"28111",7.2,0.17,8.34,751,211,0.03,0.105,1549,928,"0"
"536",6.5,0.17,8.39,747,211,0.02,0.106,1459,815,"0"
"60423",8.1,0.18,8.35,758,201,0.024,0.107,2068,1094,"0"
"4136",6.6,0.17,8.32,751,214,0.016,0.108,1410,758,"0"
"135143",10.7,0.16,8.41,758,190,0.023,0.103,1503,956,"0"
"90527",8.9,0.17,8.32,757,210,0.016,0.108,1601,903,"0"
"64391",8.3,0.17,8.33,756,211,0.021,0.104,1329,834,"0"
"95580",9.1,0.16,8.32,758,214,0.017,0.109,1319,944,"0"
"63893",8.3,0.17,8.37,758,211,0.016,0.106,1763,1005,"0"
"22132",7.1,0.17,8.3,755,211,0.026,0.114,1746,973,"0"
"22974",7.1,0.16,8.36,752,211,0.024,0.106,1605,899,"0"
"47644",7.9,0.17,8.4,752,211,0.02,0.11,1690,843,"0"
"119474",10.3,0.16,8.42,752,210,0.016,0.103,1358,1003,"0"
"26604",7.2,0.17,8.34,753,214,0.023,0.11,1468,861,"0"
"132001",10.9,0.16,8.42,751,203,0.019,0.102,1399,928,"0"
"41529",7.7,0.17,8.33,754,211,0.027,0.114,1881,984,"0"
"129974",11,0.15,8.39,750,200,0.019,0.095,1439,1060,"0"
"52728",7.7,0.16,8.32,754,211,0.023,0.109,1417,950,"0"
"36106",7.7,0.16,8.37,755,209,0.02,0.117,1917,1144,"0"
"30534",7.3,0.17,8.34,754,209,0.022,0.113,1914,949,"0"
"132937",10.9,0.16,8.43,750,189,0.02,0.097,1466,833,"0"
"16930",6.9,0.16,8.37,753,210,0.028,0.11,1725,1054,"0"
"45962",7.7,0.17,8.39,753,214,0.026,0.114,1667,805,"0"
"42571",7.7,0.16,8.39,754,207,0.029,0.113,1802,1181,"0"
"131572",10.8,0.17,8.45,754,200,0.019,0.113,1540,930,"0"
"73798",8.4,0.16,8.45,750,214,0.015,0.104,1787,959,"0"
"55437",8,0.17,8.31,757,209,0.022,0.116,1420,980,"0"
"91196",9,0.17,8.36,757,210,0.016,0.106,1717,907,"0"
"98806",9.2,0.16,8.37,756,214,0.015,0.103,1506,851,"0"
"86838",8.9,0.17,8.34,756,211,0.015,0.106,1408,837,"0"
"87336",8.9,0.17,8.44,754,210,0.016,0.104,1229,804,"0"
"22916",7,0.16,8.34,752,214,0.025,0.106,1655,965,"0"
"1843",6.5,0.15,8.39,747,211,0.01,0.102,1680,833,"0"
"114992",9.9,0.16,8.43,751,210,0.016,0.094,1339,920,"0"
"73545",8.6,0.16,8.38,751,211,0.015,0.106,1572,902,"0"
"110757",9.8,0.16,8.38,752,210,0.012,0.098,1324,945,"0"
"105565",9.6,0.18,8.39,755,210,0.016,0.106,1383,915,"0"
"119216",10.3,0.17,8.43,751,214,0.018,0.103,1295,1012,"0"
"33717",7.5,0.16,8.33,755,205,0.026,0.114,2010,1269,"0"
"54244",8,0.17,8.34,755,211,0.02,0.109,1383,995,"0"
"97129",9.1,0.16,8.39,756,214,0.015,0.105,1552,841,"0"
"92808",9,0.17,8.37,756,214,0.014,0.105,1587,934,"0"
"108516",9.8,0.16,8.39,754,210,0.015,0.101,1493,797,"0"
"29413",7.3,0.17,8.32,752,211,0.023,0.102,1737,1011,"0"
"139169",10.1,0.15,8.38,758,190,0.02,0.099,1245,733,"0"
"114784",10,0.18,8.43,753,210,0.02,0.105,1217,916,"0"
"35726",7.5,0.16,8.36,750,212,0.018,0.094,1408,1159,"0"
"92070",9,0.17,8.38,757,210,0.016,0.108,1637,1005,"0"
"9535",6.8,0.16,8.36,751,211,0.019,0.106,1251,1028,"0"
"40147",7.5,0.17,8.3,754,211,0.026,0.116,2004,141,"0"
"6536",6.8,0.16,8.32,751,211,0.014,0.114,1627,827,"0"
"123376",10.4,0.17,8.37,748,206,0.021,0.095,1354,1127,"0"
"76150",8.4,0.17,8.41,754,217,0.015,0.105,1545,809,"0"
"7501",6.9,0.16,8.35,754,209,0.024,0.12,1851,833,"0"
"128347",11,0.16,8.41,749,203,0.018,0.095,1326,866,"0"
"77978",8.6,0.17,8.36,754,211,0.015,0.104,1468,853,"0"
"118241",10.2,0.17,8.41,751,210,0.017,0.095,1700,942,"0"
"117985",10,0.16,8.47,753,210,0.017,0.101,1642,931,"0"
"107756",9.7,0.17,8.33,754,210,0.016,0.099,1596,908,"0"
"30514",7.3,0.16,8.35,752,209,0.022,0.112,2050,949,"0"
"38396",7.5,0.17,8.35,751,211,0.039,0.109,1320,834,"0"
"53757",8,0.17,8.34,755,211,0.024,0.111,1697,1015,"0"
"72696",8.4,0.17,8.39,748,217,0.016,0.105,1628,834,"0"
"35006",7.5,0.18,8.33,755,206,0.029,0.111,2045,1331,"0"
"58864",8,0.16,8.37,756,211,0.024,0.109,1862,1049,"0"
"26446",7.1,0.17,8.32,754,214,0.024,0.113,1587,797,"0"
"1899",6.5,0.17,8.38,748,211,0.016,0.101,1680,835,"0"
"61019",8.3,0.17,8.35,759,201,0.027,0.114,2120,1179,"0"
"60335",8.1,0.16,8.27,760,205,0.033,0.116,2053,1092,"0"
"48798",7.6,0.17,8.38,753,214,0.021,0.11,1587,1054,"0"
"28883",7.4,0.16,8.32,752,211,0.024,0.111,1829,785,"0"
"122420",10.4,0.17,8.38,751,200,0.015,0.102,1254,903,"0"
"100424",9.3,0.18,8.37,756,214,0.018,0.109,1413,925,"0"
"71377",8.2,0.17,8.37,757,210,0.016,0.105,1396,965,"0"
"118913",10.1,0.16,8.56,746,214,0.015,0.091,1240,1001,"0"
"94815",9.1,0.16,8.33,756,217,0.017,0.106,1339,840,"0"
"42241",7.7,0.17,8.39,753,209,0.034,0.114,1844,1181,"0"
"25295",7.1,0.16,8.28,752,211,0.025,0.108,1361,966,"0"
"99569",9.2,0.17,8.36,756,210,0.015,0.106,1283,916,"0"
"25979",7.2,0.16,8.34,751,214,0.024,0.108,1547,780,"0"
"135571",10.7,0.16,8.41,760,190,0.02,0.106,1586,959,"0"
"79405",8.7,0.17,8.41,754,214,0.015,0.102,1608,1003,"0"
"137428",10.3,0.16,8.38,760,189,0.02,0.109,1465,921,"0"
"48103",7.7,0.16,8.38,753,211,0.024,0.111,1813,832,"0"
"76826",8.6,0.16,8.4,755,211,0.015,0.104,1569,1100,"0"
"62756",8.2,0.16,8.27,756,209,0.034,0.104,1332,1135,"0"
"73602",8.6,0.16,8.41,751,211,0.014,0.104,1677,957,"0"
"80201",8.5,0.17,8.39,755,210,0.015,0.106,1486,1015,"0"
"132665",11,0.16,8.41,749,193,0.018,0.096,1579,1005,"0"
"86940",8.9,0.16,8.32,756,210,0.016,0.106,1358,862,"0"
"13444",6.8,0.17,8.32,752,211,0.027,0.111,1413,849,"0"
"19144",7.1,0.16,8.37,751,211,0.021,0.106,1763,1015,"0"
"56141",8.1,0.17,8.34,757,209,0.038,0.116,1692,1009,"0"
"99729",9.2,0.17,8.34,755,210,0.015,0.105,1385,918,"0"
"24603",7.4,0.17,8.43,751,207,0.023,0.106,1457,983,"0"
"104701",9.5,0.16,8.36,755,210,0.018,0.103,1371,973,"0"
"12981",6.7,0.16,8.34,752,214,0.021,0.106,1516,843,"0"
"118638",10.2,0.16,8.45,751,210,0.017,0.101,1559,939,"0"
"32782",7.3,0.16,8.32,755,207,0.03,0.111,2153,1214,"0"
"81916",8.7,0.17,8.36,756,217,0.014,0.109,1552,1006,"0"
"21290",6.8,0.16,8.28,754,210,0.023,0.11,1686,1130,"0"
"4947",6.7,0.16,8.41,750,214,0.016,0.106,1465,811,"0"
"121641",10.4,0.17,8.35,750,210,0.018,0.101,1274,857,"0"
"96509",9,0.17,8.31,756,214,0.016,0.103,1312,837,"0"
"77053",8.7,0.17,8.36,756,210,0.014,0.109,1521,1012,"0"
"79040",8.5,0.17,8.38,755,214,0.016,0.104,1475,878,"0"
"53518",8,0.16,8.34,754,211,0.029,0.111,1634,879,"0"
"61495",8.3,0.18,8.31,758,212,0.03,0.105,1939,1180,"0"
"117694",10.1,0.17,8.41,753,210,0.017,0.099,1493,932,"0"
"118886",10.2,0.17,8.49,747,214,0.015,0.088,1214,930,"0"
"24212",7,0.17,8.28,754,211,0.024,0.106,1396,976,"0"
"106551",9.5,0.17,8.38,755,210,0.016,0.106,1258,905,"0"
"38219",7.7,0.16,8.35,752,211,0.037,0.112,1420,760,"0"
"15479",6.8,0.17,8.36,751,210,0.023,0.11,1263,988,"0"
"46952",7.7,0.16,8.41,751,211,0.024,0.109,1446,818,"0"
"47205",7.6,0.16,8.36,753,211,0.021,0.111,1686,821,"0"
"13269",6.8,0.16,8.34,750,214,0.021,0.102,1384,844,"0"
"46265",7.8,0.17,8.39,751,211,0.025,0.113,1608,746,"0"
"113127",9.9,0.16,8.4,754,206,0.013,0.102,1376,945,"0"
"40740",7.9,0.17,8.34,754,211,0.025,0.113,1954,1289,"0"
"117418",10,0.16,8.42,751,210,0.016,0.097,1480,950,"0"
"44019",7.6,0.17,8.34,755,211,0.026,0.116,1848,1006,"0"
"80766",8.8,0.17,8.38,755,214,0.014,0.105,1562,818,"0"
"67673",8.3,0.17,8.34,759,203,0.024,0.108,1718,880,"0"
"74479",8.3,0.15,8.33,754,210,0.016,0.111,1240,1002,"0"
"105448",9.7,0.17,8.36,754,210,0.015,0.101,1263,910,"0"
"5588",6.6,0.18,8.38,750,217,0.018,0.11,1557,708,"0"
"89845",8.9,0.16,8.31,758,210,0.017,0.106,1469,1003,"0"
"70477",8.3,0.17,8.39,758,207,0.014,0.106,1539,1008,"0"
"43824",7.7,0.16,8.38,753,211,0.026,0.106,1854,986,"0"
"28528",7,0.16,8.32,754,211,0.026,0.109,1841,843,"0"
"69541",8.3,0.16,8.33,758,214,0.015,0.106,1614,934,"0"
"113136",9.9,0.16,8.39,754,206,0.013,0.102,1383,951,"0"
"64211",8.3,0.16,8.33,756,209,0.018,0.107,1500,839,"0"
"125115",10.7,0.18,8.36,751,207,0.015,0.102,1625,949,"0"
"77312",8.5,0.16,8.41,754,210,0.018,0.099,1442,1003,"0"
"62392",8.4,0.17,8.46,755,212,0.026,0.104,1707,1043,"0"
"88428",8.9,0.17,8.36,756,210,0.016,0.102,1342,800,"0"
"98366",9.2,0.17,8.33,757,217,0.015,0.109,1674,856,"0"
"49283",7.9,0.17,8.39,751,211,0.025,0.111,1692,934,"0"
"34518",7.5,0.17,8.38,755,205,0.026,0.114,1909,1304,"0"
"128662",11,0.17,8.39,749,206,0.019,0.101,1329,862,"0"
"58429",8,0.16,8.23,756,211,0.02,0.102,1377,1003,"0"
"21287",6.8,0.16,8.28,754,210,0.023,0.109,1688,1136,"0"
"119556",10.3,0.17,8.45,751,210,0.018,0.099,1436,1006,"0"
"55693",8,0.16,8.3,755,211,0.021,0.105,1366,971,"0"
"13855",6.8,0.17,8.39,749,210,0.02,0.104,1250,798,"0"
"3843",6.6,0.17,8.36,749,214,0.017,0.105,1233,880,"0"
"93576",9,0.17,8.38,755,214,0.015,0.103,1399,967,"0"
"14935",6.9,0.16,8.28,756,211,0.021,0.122,1731,1001,"0"
"61858",8.1,0.18,8.22,759,212,0.024,0.112,1729,1180,"0"
"67602",8.3,0.17,8.36,758,207,0.023,0.106,1644,881,"0"
"59502",8.3,0.16,8.38,756,209,0.028,0.111,2030,1096,"0"
"103899",9.5,0.16,8.3,756,206,0.018,0.106,1480,936,"0"
"116669",10,0.17,8.41,753,214,0.018,0.105,1373,820,"0"
"63162",8.3,0.16,8.34,756,211,0.034,0.106,1586,996,"0"
"32906",7.3,0.16,8.29,756,209,0.031,0.114,2234,1211,"0"
"108451",9.9,0.16,8.38,754,211,0.017,0.102,1615,795,"0"
"42666",7.7,0.16,8.37,754,207,0.028,0.114,1827,1190,"0"
"26921",7.1,0.16,8.37,751,214,0.023,0.104,1420,914,"0"
"112140",9.8,0.17,8.43,756,210,0.016,0.11,1805,879,"0"
"36424",7.8,0.17,8.33,754,209,0.023,0.108,2025,1150,"0"
"75900",8.4,0.17,8.43,752,214,0.016,0.103,1273,795,"0"
"902",6.5,0.16,8.36,748,211,0.018,0.111,1520,804,"0"
"91942",9,0.16,8.37,757,217,0.017,0.108,1527,1005,"0"
"87144",8.9,0.17,8.34,755,211,0.017,0.105,1310,827,"0"
"45185",7.7,0.17,8.36,754,211,0.027,0.118,1534,1078,"0"
"57864",8.3,0.17,8.37,755,212,0.037,0.109,1788,872,"0"
"92932",9,0.16,8.37,757,214,0.014,0.108,1567,881,"0"
"95464",9,0.17,8.38,758,210,0.017,0.106,1449,962,"0"
"139101",10.2,0.16,8.43,759,189,0.021,0.106,1112,731,"0"
"7831",6.8,0.16,8.36,750,211,0.019,0.104,1708,837,"0"
"31803",7.7,0.17,8.42,751,205,0.02,0.105,2025,1159,"0"
"137456",10.3,0.16,8.37,760,189,0.021,0.108,1460,1101,"0"
"127404",10.9,0.16,8.39,746,206,0.018,0.091,1268,811,"0"
"98314",9.2,0.16,8.37,756,217,0.016,0.108,1643,851,"0"
"14036",6.7,0.17,8.3,751,214,0.019,0.111,1225,798,"0"
"88154",8.9,0.16,8.35,754,210,0.015,0.098,1405,795,"0"
"46455",7.7,0.16,8.39,751,214,0.024,0.106,1592,762,"0"
"119",6.5,0.16,8.31,750,207,0.011,0.118,1504,690,"0"
"69105",8.3,0.17,8.38,758,211,0.015,0.106,1503,862,"0"
"67610",8.3,0.17,8.38,758,207,0.023,0.106,1703,875,"0"
"15336",6.8,0.16,8.3,751,214,0.023,0.106,1258,995,"0"
"3439",6.6,0.17,8.28,751,211,0.013,0.118,1396,884,"0"
"31452",7.2,0.16,8.33,754,211,0.023,0.111,1766,1123,"0"
"119849",10.4,0.16,8.45,750,210,0.015,0.099,1379,914,"0"
"20904",6.9,0.17,8.31,754,210,0.022,0.114,1545,956,"0"
"126833",10.8,0.17,8.37,749,210,0.024,0.101,1395,806,"0"
"74262",8.4,0.16,8.38,750,214,0.015,0.095,1434,988,"0"
"1759",6.5,0.16,8.3,749,211,0.009,0.108,1481,834,"0"
"40106",7.5,0.17,8.33,754,210,0.026,0.114,1663,1216,"0"
"84268",8.7,0.17,8.36,754,210,0.015,0.099,1325,879,"0"
"131289",10.9,0.16,8.45,750,203,0.017,0.099,1436,916,"0"
"23437",7.3,0.16,8.34,752,211,0.023,0.108,1575,1059,"0"
"59469",8.3,0.16,8.34,756,209,0.025,0.107,2024,1086,"0"
"99287",9.3,0.16,8.38,757,214,0.016,0.11,1390,1055,"0"
"15721",6.8,0.17,8.34,753,211,0.023,0.111,1451,942,"0"
"23413",7.2,0.16,8.36,751,211,0.023,0.106,1660,1052,"0"
"92407",9,0.17,8.35,757,210,0.015,0.106,1663,891,"0"
"42740",7.7,0.17,8.31,755,207,0.029,0.116,1784,1127,"0"
"41524",7.7,0.17,8.33,755,211,0.027,0.117,1851,1082,"0"
"106837",9.8,0.17,8.37,755,207,0.037,0.105,1353,903,"0"
"110769",9.8,0.16,8.39,752,210,0.013,0.099,1307,953,"0"
"47965",7.7,0.16,8.44,751,211,0.024,0.111,1818,833,"0"
"51628",7.8,0.16,8.46,751,211,0.026,0.106,1726,914,"0"
"134617",10.7,0.16,8.43,758,190,0.02,0.106,1563,857,"0"
"24697",7.5,0.16,8.33,754,211,0.023,0.111,1417,982,"0"
"30599",7.4,0.17,8.33,754,209,0.021,0.114,1935,960,"0"
"91992",9,0.17,8.35,757,214,0.016,0.106,1533,1011,"0"
"86217",8.9,0.16,8.34,754,214,0.021,0.097,1344,810,"0"
"75938",8.3,0.16,8.41,752,214,0.018,0.103,1302,798,"0"
"46505",7.7,0.16,8.39,750,211,0.022,0.104,1584,747,"0"
"117325",9.9,0.16,8.45,750,214,0.017,0.094,1407,953,"0"
"20215",7.1,0.18,8.36,751,211,0.021,0.106,1680,878,"0"
"117233",10,0.16,8.41,750,214,0.018,0.094,1372,961,"0"
"110368",9.8,0.16,8.43,752,210,0.014,0.099,1402,942,"0"
"119006",10.2,0.16,8.46,750,210,0.015,0.095,1261,996,"0"
"24099",7.1,0.17,8.35,753,211,0.027,0.11,1506,971,"0"
"16625",6.8,0.16,8.3,754,211,0.016,0.108,1611,1053,"0"
"123524",10.5,0.17,8.38,750,206,0.019,0.099,1465,1075,"0"
"115939",9.9,0.16,8.41,750,214,0.017,0.094,1356,777,"0"
"55344",8.1,0.17,8.31,757,211,0.024,0.117,1469,1059,"0"
"27537",7.3,0.17,8.29,754,211,0.02,0.111,1634,937,"0"
"21719",7.2,0.15,8.37,752,211,0.022,0.108,1663,1020,"0"
"119050",10.2,0.17,8.41,749,210,0.016,0.091,1163,989,"0"
"128400",11,0.17,8.39,749,200,0.017,0.095,1327,876,"0"
"136688",10.4,0.16,8.4,759,190,0.021,0.104,1318,822,"0"
"119731",10.4,0.17,8.51,749,210,0.016,0.094,1408,1003,"0"
"52463",7.9,0.17,8.33,755,207,0.026,0.114,1719,1049,"0"
